Flow ID, Source Port, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, SYN Flag Count, RST Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Inbound, Label
172.16.0.5-192.168.50.1-60675-80-6,60675,80,6,5220876,12,9,1928,4290,509,0,160.6666667,237.8782474,1073,476.6666667,565.2572423,1190.987873,4.022313497,261043.8,1117421.478,5004919,2,215957,19632.45455,57799.7969,192825,2,5220754,652594.25,1759944.288,5005096,3,0,400,304,2.298464855,1.723848641,0,1073,282.6363636,424.0285868,179800.2424,0,0,1,0,0,0,296.0952381,160.6666667,476.6666667,400,12,1928,9,4290,65535,243,4,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-60676-80-6,60676,80,6,12644252,5,2,0,0,0,0,0,0,0,0,0,0,0.553611238,2107375.333,5161910.001,12644080,1,12644252,3161063,6322011.334,12644080,1,1,1,0,1,1,0,176,80,0.395436598,0.158174639,0,0,0,0,0,0,0,1,0,0,0,0,0,0,176,5,0,2,0,65535,28960,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-53948-80-6,53948,80,6,5008872,8,7,754,2146,377,0,94.25,174.5170888,1073,306.5714286,523.5703891,578.9726709,2.994686229,357776.5714,1337536.102,5004906,2,3966,566.5714286,1130.933222,3079,2,5008774,834795.6667,2042987.216,5005025,2,0,272,240,1.597165989,1.39752024,0,1073,181.25,370.7012274,137419.4,0,0,1,0,0,0,193.3333333,94.25,306.5714286,272,8,754,7,2146,65535,235,2,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-60675-80-6,80,60675,6,176,1,1,0,0,0,0,0,0,0,0,0,0,11363.63636,176,0,176,176,0,0,0,0,0,0,0,0,0,0,0,32,32,5681.818182,5681.818182,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,243,64,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-60675-80-6,60675,80,6,95,1,2,0,0,0,0,0,0,0,0,0,0,31578.94737,47.5,62.93250353,92,3,0,0,0,0,0,3,3,0,3,3,0,32,64,10526.31579,21052.63158,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,64,243,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-53948-80-6,80,53948,6,233,1,1,0,0,0,0,0,0,0,0,0,0,8583.690987,233,0,233,233,0,0,0,0,0,0,0,0,0,0,0,32,32,4291.845494,4291.845494,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,235,64,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-53948-80-6,53948,80,6,96,1,2,0,0,0,0,0,0,0,0,0,0,31250,48,65.05382387,94,2,0,0,0,0,0,2,2,0,2,2,0,32,64,10416.66667,20833.33333,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,64,235,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-60676-80-6,60676,80,6,184,1,1,0,0,0,0,0,0,0,0,0,0,10869.56522,184,0,184,184,0,0,0,0,0,0,0,0,0,0,0,32,32,5434.782609,5434.782609,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,64,227,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-60676-80-6,80,60676,6,112,1,2,0,0,0,0,0,0,0,0,0,0,26785.71429,56,76.36753237,110,2,0,0,0,0,0,2,2,0,2,2,0,32,64,8928.571429,17857.14286,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,227,64,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-62470-80-6,62470,80,6,5446084,12,9,1796,4290,489,0,149.6666667,222.3843247,1073,476.6666667,565.2572423,1117.500207,3.855981656,272304.2,1118245.023,5004890,2,441194,40108.54545,132415.6487,439356,2,5445972,680746.5,1754044.164,5005034,2,0,400,304,2.203418089,1.652563567,0,1073,276.6363636,421.4612387,177629.5758,0,0,1,0,0,0,289.8095238,149.6666667,476.6666667,400,12,1796,9,4290,65535,243,4,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-25927-80-6,25927,80,6,5900903,12,9,1658,4290,442,0,138.1666667,204.7583202,1073,476.6666667,565.2572423,1007.981321,3.55877736,295045.15,1125769.215,5002987,1,897916,81628.72727,267885.9203,889310,1,5900713,737589.125,1751356.588,5003097,2,0,400,304,2.033587063,1.525190297,0,1073,270.3636364,418.7947043,175389.0043,0,0,1,0,0,0,283.2380952,138.1666667,476.6666667,400,12,1658,9,4290,65535,243,4,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-25926-80-6,25926,80,6,16249979,5,2,0,0,0,0,0,0,0,0,0,0,0.430769787,2708329.833,6633918.37,16249759,2,16249979,4062494.75,8124842.834,16249759,2,3,3,0,3,3,0,176,80,0.307692705,0.123077082,0,0,0,0,0,0,0,1,0,0,0,0,0,0,176,5,0,2,0,65535,28960,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-49691-80-6,49691,80,6,5677768,12,9,1742,4290,463,0,145.1666667,215.06567,1073,476.6666667,565.2572423,1062.389305,3.698636506,283888.4,1120985.759,5004876,2,672892,61172,199368.8225,662237,2,5677570,709696.25,1750925.928,5005005,2,0,400,304,2.113506575,1.585129931,0,1073,274.1818182,420.2509042,176610.8225,0,0,1,0,0,0,287.2380952,145.1666667,476.6666667,400,12,1742,9,4290,65535,243,4,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-62470-80-6,80,62470,6,186,1,1,0,0,0,0,0,0,0,0,0,0,10752.68817,186,0,186,186,0,0,0,0,0,0,0,0,0,0,0,32,32,5376.344086,5376.344086,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,243,64,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-62470-80-6,62470,80,6,128,1,2,0,0,0,0,0,0,0,0,0,0,23437.5,64,86.2670273,125,3,0,0,0,0,0,3,3,0,3,3,0,32,64,7812.5,15625,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,64,243,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-25927-80-6,80,25927,6,143,1,1,0,0,0,0,0,0,0,0,0,0,13986.01399,143,0,143,143,0,0,0,0,0,0,0,0,0,0,0,32,32,6993.006993,6993.006993,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,243,64,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-25927-80-6,25927,80,6,97,1,2,0,0,0,0,0,0,0,0,0,0,30927.83505,48.5,67.17514421,96,1,0,0,0,0,0,1,1,0,1,1,0,32,64,10309.27835,20618.5567,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,64,243,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-43688-22-6,43688,22,6,2627411,19,24,1322,2834,440,0,69.57894737,133.4871262,976,118.0833333,275.4697043,1581.785263,16.36592067,62557.40476,222917.5478,1434292,1,2627411,145967.2778,371030.8416,1604104,2,2498663,108637.5217,297678.8124,1434292,1,0,624,784,7.23145332,9.134467352,0,976,94.45454545,220.9987325,48840.43975,0,0,1,0,0,1,96.65116279,69.57894737,118.0833333,624,19,1322,24,2834,29200,235,12,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-55579-22-6,55579,22,6,11964743,33,38,2750,4514,648,0,83.33333333,160.2704095,976,118.7894737,278.128607,607.1170939,5.934101552,170924.9,454263.0734,2314996,1,11964743,373898.2188,804352.7449,2907412,1,11594888,313375.3514,591167.0505,2314996,2,0,1088,1248,2.758103538,3.175998013,0,976,100.8888889,228.7951021,52347.19875,0,0,1,0,0,1,102.3098592,83.33333333,118.7894737,1088,33,2750,38,4514,29200,247,20,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-49691-80-6,80,49691,6,102,1,1,0,0,0,0,0,0,0,0,0,0,19607.84314,102,0,102,102,0,0,0,0,0,0,0,0,0,0,0,32,32,9803.921569,9803.921569,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,243,64,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-49691-80-6,49691,80,6,125,1,2,0,0,0,0,0,0,0,0,0,0,24000,62.5,85.55992052,123,2,0,0,0,0,0,2,2,0,2,2,0,32,64,8000,16000,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,64,243,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-43688-22-6,43688,22,6,15461,3,5,104,0,52,0,34.66666667,30.022214,0,0,0,6726.602419,517.4309553,2208.714286,5466.791098,14595,2,14695,7347.5,10386.69151,14692,3,15366,3841.5,7249.528375,14706,2,0,96,184,194.0366082,323.3943471,0,52,11.55555556,22.9298447,525.7777778,0,0,0,1,1,1,13,34.66666667,0,96,3,104,5,0,259,235,2,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-43688-22-6,22,43688,6,127089,1,2,0,0,0,0,0,0,0,0,0,0,23.6055048,63544.5,89861.25107,127086,3,0,0,0,0,0,3,3,0,3,3,0,32,64,7.868501601,15.7370032,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,235,259,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-18164-80-6,18164,80,6,5006073,8,7,1476,2146,738,0,184.5,341.6276168,1073,306.5714286,523.5703891,723.5212111,2.99636062,357576.6429,1337619.598,5004997,2,1076,153.7142857,203.286919,498,2,5005936,834322.6667,2043236.656,5005062,2,0,272,240,1.598058998,1.398301623,0,1073,226.375,414.0866053,171467.7167,0,0,1,0,0,0,241.4666667,184.5,306.5714286,272,8,1476,7,2146,65535,238,2,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-18164-80-6,80,18164,6,105,1,1,0,0,0,0,0,0,0,0,0,0,19047.61905,105,0,105,105,0,0,0,0,0,0,0,0,0,0,0,32,32,9523.809524,9523.809524,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,238,64,0,32,0,0,0,0,0,0,0,0,0,3
172.16.0.5-192.168.50.1-18164-80-6,18164,80,6,144,1,2,0,0,0,0,0,0,0,0,0,0,20833.33333,72,97.5807358,141,3,0,0,0,0,0,3,3,0,3,3,0,32,64,6944.444444,13888.88889,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,64,238,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-25926-80-6,25926,80,6,211,1,1,0,0,0,0,0,0,0,0,0,0,9478.672986,211,0,211,211,0,0,0,0,0,0,0,0,0,0,0,32,32,4739.336493,4739.336493,0,0,0,0,0,0,0,0,1,1,1,0,0,0,32,1,0,1,0,64,227,0,32,0,0,0,0,0,0,0,0,1,3
172.16.0.5-192.168.50.1-25926-80-6,80,25926,6,108,1,2,0,0,0,0,0,0,0,0,0,0,27777.77778,54,72.12489168,105,3,0,0,0,0,0,3,3,0,3,3,0,32,64,9259.259259,18518.51852,0,0,0,0,0,0,0,0,1,1,2,0,0,0,32,1,0,2,0,227,64,0,32,0,0,0,0,0,0,0,0,0,3
