Flow ID, Source Port, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, RST Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Inbound, Label
172.16.0.5-192.168.50.1-0-0-0,0,0,0,119714230,49476,214,0,0,0,0,0,0,0,0,0,0,415.0717922,2409.270261,36195.71635,2001059,0,119714230,2419.691359,36275.32503,2001059,0,114024102,535324.4225,1232162.381,5976064,1,0,0,0,413.2842019,1.787590331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49476,0,214,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-700-36081-17,700,36081,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-701-25269-17,701,25269,17,1,2,0,2604,0,1302,1302,1302,0,0,0,0,2.60E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,-2,0,2000000,0,1302,1302,1302,0,0,0,0,0,0,0,1953,1302,0,-2,2,2604,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-702-2533-17,702,2533,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-703-34942-17,703,34942,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-828-54932-17,828,54932,17,2,2,0,2474,0,1237,1237,1237,0,0,0,0,1.24E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1237,1237,1237,0,0,0,0,0,0,0,1855.5,1237,0,-2,2,2474,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-704-55885-17,704,55885,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-705-54230-17,705,54230,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,-2,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-706-60806-17,706,60806,17,2,2,0,2706,0,1353,1353,1353,0,0,0,0,1.35E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1353,1353,1353,0,0,0,0,0,0,0,2029.5,1353,0,-2,2,2706,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-707-25904-17,707,25904,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-708-63802-17,708,63802,17,2,2,0,2728,0,1364,1364,1364,0,0,0,0,1.36E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1364,1364,1364,0,0,0,0,0,0,0,2046,1364,0,-2,2,2728,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-709-34825-17,709,34825,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-672-20550-17,672,20550,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-710-9104-17,710,9104,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-711-38295-17,711,38295,17,1,2,0,2754,0,1377,1377,1377,0,0,0,0,2.75E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,-2,0,2000000,0,1377,1377,1377,0,0,0,0,0,0,0,2065.5,1377,0,-2,2,2754,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-712-8001-17,712,8001,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,-2,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-713-24167-17,713,24167,17,2,2,0,2736,0,1368,1368,1368,0,0,0,0,1.37E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,1368,1368,1368,0,0,0,0,0,0,0,2052,1368,0,-2,2,2736,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
172.16.0.5-192.168.50.1-714-37455-17,714,37455,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,-2,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,0,0,2208,1472,0,-2,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,1,4
