Flow ID, Source Port, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags,Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,RST Flag Count,URG Flag Count,Down/Up Ratio, Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size, Fwd Header Length.1,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Inbound, Label
172.16.0.5-192.168.50.1-634-60495-17,634,60495,17,28415,97,0,42680,0,440,440,440,0,0,0,0,1502023.579,3413.689952,295.9895833,500.9593007,3596,1,28415,295.9895833,500.9593007,3596,1,0,0,0,0,0,0,-97,0,3413.689952,0,440,440,440,0,0,0,0,0,444.5360825,440,0,-97,97,42680,0,0,-1,-1,96,-1,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-60495-634-17,634,60495,17,2,2,0,880,0,440,440,440,0,0,0,0,4.40E+08,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,440,440,440,0,0,0,0,0,660,440,0,-2,2,880,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1
172.16.0.5-192.168.50.1-634-46391-17,634,46391,17,48549,200,0,88000,0,440,440,440,0,0,0,0,1812601.701,4119.549321,243.9648241,578.1013715,5418,1,48549,243.9648241,578.1013715,5418,1,0,0,0,0,0,0,-200,0,4119.549321,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-11894-17,634,11894,17,48337,200,0,88000,0,440,440,440,0,0,0,0,1820551.544,4137.617146,242.8994975,485.2926951,3337,1,48337,242.8994975,485.2926951,3337,1,0,0,0,0,0,0,-200,0,4137.617146,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-27878-17,634,27878,17,32026,200,0,88000,0,440,440,440,0,0,0,0,2747767.439,6244.925998,160.9346734,196.8912707,1236,0,32026,160.9346734,196.8912707,1236,0,0,0,0,0,0,0,-200,0,6244.925998,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-47149-17,634,47149,17,46469,200,0,88000,0,440,440,440,0,0,0,0,1893735.609,4303.944565,233.5125628,500.9524954,3623,0,46469,233.5125628,500.9524954,3623,0,0,0,0,0,0,0,-200,0,4303.944565,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-22713-17,634,22713,17,31201,200,0,88000,0,440,440,440,0,0,0,0,2820422.422,6410.05096,156.7889447,185.551092,880,0,31201,156.7889447,185.551092,880,0,0,0,0,0,0,0,-200,0,6410.05096,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-49912-17,634,49912,17,50453,200,0,88000,0,440,440,440,0,0,0,0,1744197.57,3964.085386,253.5326633,663.6606301,7649,1,50453,253.5326633,663.6606301,7649,1,0,0,0,0,0,0,-200,0,3964.085386,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-56681-17,634,56681,17,31008,200,0,88000,0,440,440,440,0,0,0,0,2837977.296,6449.9484,155.8190955,179.5128015,944,0,31008,155.8190955,179.5128015,944,0,0,0,0,0,0,0,-200,0,6449.9484,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-13161-17,634,13161,17,30143,200,0,88000,0,440,440,440,0,0,0,0,2919417.444,6635.039644,151.4723618,178.0421809,945,0,30143,151.4723618,178.0421809,945,0,0,0,0,0,0,0,-200,0,6635.039644,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-25051-17,634,25051,17,48900,200,0,88000,0,440,440,440,0,0,0,0,1799591.002,4089.97955,245.7286432,568.2358636,4985,0,48900,245.7286432,568.2358636,4985,0,0,0,0,0,0,0,-200,0,4089.97955,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-44308-17,634,44308,17,58212,200,0,88000,0,440,440,440,0,0,0,0,1511715.797,3435.717721,292.5226131,1270.97731,13890,1,58212,292.5226131,1270.97731,13890,1,0,0,0,0,0,0,4000,0,3435.717721,0,440,440,440,0,0,0,0,0,442.2,440,0,4000,200,88000,0,0,-1,-1,199,20,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-53470-17,634,53470,17,77486,200,0,88000,0,440,440,440,0,0,0,0,1135689.028,2581.111427,389.3768844,1637.704816,15314,0,77486,389.3768844,1637.704816,15314,0,0,0,0,0,0,0,2940,0,2581.111427,0,440,440,440,0,0,0,0,0,442.2,440,0,2940,200,88000,0,0,-1,-1,199,0,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-31996-17,634,31996,17,81809,200,0,88000,0,440,440,440,0,0,0,0,1075676.27,2444.718796,411.1005025,1472.585914,14908,1,81809,411.1005025,1472.585914,14908,1,0,0,0,0,0,0,0,0,2444.718796,0,440,440,440,0,0,0,0,0,442.2,440,0,0,200,88000,0,0,-1,-1,199,0,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-18865-17,634,18865,17,71379,200,0,88000,0,440,440,440,0,0,0,0,1232855.602,2801.94455,358.6884422,1578.631578,15230,1,71379,358.6884422,1578.631578,15230,1,0,0,0,0,0,0,0,0,2801.94455,0,440,440,440,0,0,0,0,0,442.2,440,0,0,200,88000,0,0,-1,-1,199,0,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-634-63613-17,634,63613,17,115713,200,0,88000,0,440,440,440,0,0,0,0,760502.2772,1728.414266,581.4723618,1184.880759,7198,1,115713,581.4723618,1184.880759,7198,1,0,0,0,0,0,0,0,0,1728.414266,0,440,440,440,0,0,0,0,0,442.2,440,0,0,200,88000,0,0,-1,-1,199,0,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-62233-40966-17,62233,40966,17,2,2,0,2944,0,1472,1472,1472,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,1000000,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,0,2,2944,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-40966-62233-17,62233,40966,17,1,2,0,1040,0,520,520,520,0,0,0,0,1.04E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2000000,0,520,520,520,0,0,0,0,0,780,520,0,0,2,1040,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1
172.16.0.5-192.168.50.1-42093-80-6,42093,80,6,683412,11,6,1788,2146,474,0,162.5454545,226.1682399,1073,357.6666667,554.0948174,5756.410482,24.8751851,42713.25,168773.0962,675579,2,683412,68341.2,213372.6837,675579,2,7535,1507,3198.004143,7223,2,0,368,208,16.09570801,8.779477094,0,1073,218.5555556,363.3999939,132059.5556,0,0,0,231.4117647,162.5454545,357.6666667,368,11,1788,6,2146,65535,235,4,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-61987-43439-17,61987,43439,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,64,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,64,2,2944,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-62404-28005-17,62404,28005,17,3,2,0,2944,0,1472,1472,1472,0,0,0,0,9.81E+08,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,64,0,666666.6667,0,1472,1472,1472,0,0,0,0,0,2208,1472,0,64,2,2944,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-42095-80-6,42095,80,6,5408406,8,7,1000,2146,500,0,125,231.4550249,1073,306.5714286,523.5703891,581.6870997,2.773460424,386314.7143,1333646.033,5004930,2,403476,57639.42857,152052.2335,402461,3,5408240,901373.3333,2016803.115,5005007,2,0,272,240,1.479178893,1.294281531,0,1073,196.625,381.5822978,145605.05,0,0,0,209.7333333,125,306.5714286,272,8,1000,7,2146,65535,235,2,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-42093-80-6,42093,80,6,597,1,2,0,1072,0,0,0,0,1072,536,758.0184694,1795644.891,5025.125628,298.5,416.4858941,593,4,0,0,0,0,0,4,4,0,4,4,0,32,64,1675.041876,3350.083752,0,1072,268,536,287296,0,1,2,357.3333333,0,536,32,1,0,2,1072,64,243,0,32,0,0,0,0,0,0,0,0,1,1
172.16.0.5-192.168.50.1-42093-80-6,80,42093,6,1,2,0,1072,0,1072,0,536,758.0184694,0,0,0,1.07E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,64,0,2000000,0,0,1072,714.6666667,618.9194886,383061.3333,1,1,0,1072,536,0,64,2,1072,0,0,243,-1,0,32,0,0,0,0,0,0,0,0,0,1
