Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, RST Flag Count, URG Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Inbound, Label
425,172.16.0.5-192.168.50.1-634-60495-17,172.16.0.5,634,192.168.50.1,60495,17,51:39.8,28415,97,0,42680,0,440,440,440,0,0,0,0,1502023.579,3413.689952,295.9895833,500.9593007,3596,1,28415,295.9895833,500.9593007,3596,1,0,0,0,0,0,0,-97,0,3413.689952,0,440,440,440,0,0,0,0,0,444.5360825,440,0,-97,97,42680,0,0,-1,-1,96,-1,0,0,0,0,0,0,0,0,1,1
430,172.16.0.5-192.168.50.1-60495-634-17,192.168.50.1,634,172.16.0.5,60495,17,51:39.8,2,2,0,880,0,440,440,440,0,0,0,0,4.40E+08,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,-2,0,1000000,0,440,440,440,0,0,0,0,0,660,440,0,-2,2,880,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1
1654,172.16.0.5-192.168.50.1-634-46391-17,172.16.0.5,634,192.168.50.1,46391,17,51:39.9,48549,200,0,88000,0,440,440,440,0,0,0,0,1812601.701,4119.549321,243.9648241,578.1013715,5418,1,48549,243.9648241,578.1013715,5418,1,0,0,0,0,0,0,-200,0,4119.549321,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
2927,172.16.0.5-192.168.50.1-634-11894-17,172.16.0.5,634,192.168.50.1,11894,17,51:39.9,48337,200,0,88000,0,440,440,440,0,0,0,0,1820551.544,4137.617146,242.8994975,485.2926951,3337,1,48337,242.8994975,485.2926951,3337,1,0,0,0,0,0,0,-200,0,4137.617146,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
694,172.16.0.5-192.168.50.1-634-27878-17,172.16.0.5,634,192.168.50.1,27878,17,51:39.9,32026,200,0,88000,0,440,440,440,0,0,0,0,2747767.439,6244.925998,160.9346734,196.8912707,1236,0,32026,160.9346734,196.8912707,1236,0,0,0,0,0,0,0,-200,0,6244.925998,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
838,172.16.0.5-192.168.50.1-634-47149-17,172.16.0.5,634,192.168.50.1,47149,17,51:39.9,46469,200,0,88000,0,440,440,440,0,0,0,0,1893735.609,4303.944565,233.5125628,500.9524954,3623,0,46469,233.5125628,500.9524954,3623,0,0,0,0,0,0,0,-200,0,4303.944565,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
3090,172.16.0.5-192.168.50.1-634-22713-17,172.16.0.5,634,192.168.50.1,22713,17,51:40.0,31201,200,0,88000,0,440,440,440,0,0,0,0,2820422.422,6410.05096,156.7889447,185.551092,880,0,31201,156.7889447,185.551092,880,0,0,0,0,0,0,0,-200,0,6410.05096,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
2594,172.16.0.5-192.168.50.1-634-49912-17,172.16.0.5,634,192.168.50.1,49912,17,51:40.0,50453,200,0,88000,0,440,440,440,0,0,0,0,1744197.57,3964.085386,253.5326633,663.6606301,7649,1,50453,253.5326633,663.6606301,7649,1,0,0,0,0,0,0,-200,0,3964.085386,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
2698,172.16.0.5-192.168.50.1-634-56681-17,172.16.0.5,634,192.168.50.1,56681,17,51:40.0,31008,200,0,88000,0,440,440,440,0,0,0,0,2837977.296,6449.9484,155.8190955,179.5128015,944,0,31008,155.8190955,179.5128015,944,0,0,0,0,0,0,0,-200,0,6449.9484,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
277,172.16.0.5-192.168.50.1-634-13161-17,172.16.0.5,634,192.168.50.1,13161,17,51:40.0,30143,200,0,88000,0,440,440,440,0,0,0,0,2919417.444,6635.039644,151.4723618,178.0421809,945,0,30143,151.4723618,178.0421809,945,0,0,0,0,0,0,0,-200,0,6635.039644,0,440,440,440,0,0,0,0,0,442.2,440,0,-200,200,88000,0,0,-1,-1,199,-1,0,0,0,0,0,0,0,0,1,1
